[2021-09-08 15:29:55,232][        main.py][line: 141][    INFO] args:Namespace(hidden_size=128, num_generated_samples=100, sample_width=1, MCMC_size=5, learning_rate=0.01, gammar=0.99, mp_size=10, use_multi_proc=True, multi_metrics=True, motif=True, sender_file='generated_samples.txt', receiver_file='output_syn.txt', inputs='polymer_117.txt', resume=True, resume_path='log-num_generated_samples100-20210908-004010-multi_metrics/best_epoch_2_1.1797641278227733.pkl')
[2021-09-08 15:29:58,041][        main.py][line: 155][    INFO] starting

[2021-09-08 17:52:27,833][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8890221980938422, 'num_rules': 331, 'num_samples': 0, 'syn': 0.19444444444444445}]
[2021-09-08 17:52:27,834][        main.py][line: 185][    INFO] ======sample 0 returns [1.0834666425382866]=======:
[2021-09-08 18:02:02,289][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8957163117588877, 'num_rules': 333, 'num_samples': 0, 'syn': 0.11926605504587157}]
[2021-09-08 18:02:02,290][        main.py][line: 185][    INFO] ======sample 1 returns [1.0834666425382866, 1.0149823668047593]=======:
[2021-09-08 18:11:27,357][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8902115947235693, 'num_rules': 332, 'num_samples': 0, 'syn': 0.12844036697247707}]
[2021-09-08 18:11:27,357][        main.py][line: 185][    INFO] ======sample 2 returns [1.0834666425382866, 1.0149823668047593, 1.0186519616960463]=======:
[2021-09-08 18:21:06,428][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8937348689053508, 'num_rules': 327, 'num_samples': 0, 'syn': 0.1651376146788991}]
[2021-09-08 18:21:06,429][        main.py][line: 185][    INFO] ======sample 3 returns [1.0834666425382866, 1.0149823668047593, 1.0186519616960463, 1.05887248358425]=======:
[2021-09-08 18:30:41,718][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8904487637434264, 'num_rules': 330, 'num_samples': 0, 'syn': 0.05714285714285714}]
[2021-09-08 18:30:41,718][        main.py][line: 185][    INFO] ======sample 4 returns [1.0834666425382866, 1.0149823668047593, 1.0186519616960463, 1.05887248358425, 0.9475916208862836]=======:
[2021-09-08 18:30:42,993][        main.py][line: 208][    INFO] loss: tensor([2.4677], grad_fn=<AddBackward0>)
[2021-09-08 18:30:43,002][        main.py][line: 209][    INFO] ===epoch1===
[2021-09-08 18:30:43,003][        main.py][line: 210][    INFO] loss: 2.4676618576049805
[2021-09-08 18:30:43,004][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8890221980938422, 'num_rules': 331, 'num_samples': 0, 'syn': 0.19444444444444445}], [{'diversity': 0.8957163117588877, 'num_rules': 333, 'num_samples': 0, 'syn': 0.11926605504587157}], [{'diversity': 0.8902115947235693, 'num_rules': 332, 'num_samples': 0, 'syn': 0.12844036697247707}], [{'diversity': 0.8937348689053508, 'num_rules': 327, 'num_samples': 0, 'syn': 0.1651376146788991}], [{'diversity': 0.8904487637434264, 'num_rules': 330, 'num_samples': 0, 'syn': 0.05714285714285714}]]
[2021-09-08 18:30:43,004][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8918267474450154
[2021-09-08 18:30:43,004][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 330.6
[2021-09-08 18:30:43,004][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-08 18:30:43,005][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.13288626765690986
[2021-09-08 18:30:43,005][        main.py][line: 220][    INFO] =====
[2021-09-08 18:41:07,955][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8786645521129448, 'num_rules': 333, 'num_samples': 0, 'syn': 0.13761467889908258}]
[2021-09-08 18:41:07,956][        main.py][line: 185][    INFO] ======sample 0 returns [1.0162792310120274]=======:
[2021-09-08 18:50:37,082][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8923784155375614, 'num_rules': 337, 'num_samples': 0, 'syn': 0.07407407407407407}]
[2021-09-08 18:50:37,082][        main.py][line: 185][    INFO] ======sample 1 returns [1.0162792310120274, 0.9664524896116354]=======:
[2021-09-08 19:00:18,596][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.9010707436727602, 'num_rules': 338, 'num_samples': 0, 'syn': 0.14678899082568808}]
[2021-09-08 19:00:18,596][        main.py][line: 185][    INFO] ======sample 2 returns [1.0162792310120274, 0.9664524896116354, 1.0478597344984482]=======:
[2021-09-08 19:10:06,840][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8982544733826519, 'num_rules': 335, 'num_samples': 0, 'syn': 0.08256880733944955}]
[2021-09-08 19:10:06,841][        main.py][line: 185][    INFO] ======sample 3 returns [1.0162792310120274, 0.9664524896116354, 1.0478597344984482, 0.9808232807221013]=======:
[2021-09-08 19:20:08,102][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8995596524328633, 'num_rules': 334, 'num_samples': 0, 'syn': 0.1388888888888889}]
[2021-09-08 19:20:08,103][        main.py][line: 185][    INFO] ======sample 4 returns [1.0162792310120274, 0.9664524896116354, 1.0478597344984482, 0.9808232807221013, 1.0384485413217521]=======:
[2021-09-08 19:20:08,813][        main.py][line: 208][    INFO] loss: tensor([1.2233], grad_fn=<AddBackward0>)
[2021-09-08 19:20:08,813][        main.py][line: 209][    INFO] ===epoch2===
[2021-09-08 19:20:08,814][        main.py][line: 210][    INFO] loss: 1.2233484983444214
[2021-09-08 19:20:08,815][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8786645521129448, 'num_rules': 333, 'num_samples': 0, 'syn': 0.13761467889908258}], [{'diversity': 0.8923784155375614, 'num_rules': 337, 'num_samples': 0, 'syn': 0.07407407407407407}], [{'diversity': 0.9010707436727602, 'num_rules': 338, 'num_samples': 0, 'syn': 0.14678899082568808}], [{'diversity': 0.8982544733826519, 'num_rules': 335, 'num_samples': 0, 'syn': 0.08256880733944955}], [{'diversity': 0.8995596524328633, 'num_rules': 334, 'num_samples': 0, 'syn': 0.1388888888888889}]]
[2021-09-08 19:20:08,815][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8939855674277564
[2021-09-08 19:20:08,815][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 335.4
[2021-09-08 19:20:08,815][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-08 19:20:08,815][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.11598708800543664
[2021-09-08 19:20:08,815][        main.py][line: 220][    INFO] =====
[2021-09-08 19:30:44,317][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8950661003297348, 'num_rules': 346, 'num_samples': 0, 'syn': 0.13761467889908258}]
[2021-09-08 19:30:44,317][        main.py][line: 185][    INFO] ======sample 0 returns [1.0326807792288173]=======:
[2021-09-08 19:41:08,412][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8972133897248357, 'num_rules': 344, 'num_samples': 0, 'syn': 0.10185185185185185}]
[2021-09-08 19:41:08,413][        main.py][line: 185][    INFO] ======sample 1 returns [1.0326807792288173, 0.9990652415766875]=======:
