[2021-09-26 19:17:16,731][        main.py][line: 141][    INFO] args:Namespace(hidden_size=128, num_generated_samples=100, sample_width=1, MCMC_size=5, learning_rate=0.01, gammar=0.99, mp_size=10, use_multi_proc=True, multi_metrics=True, motif=False, sender_file='generated_samples.txt', receiver_file='output_syn.txt', resume=False, resume_path='', _lambda_0=0.5, _lambda_1=1)
[2021-09-26 19:17:17,711][        main.py][line: 155][    INFO] starting

[2021-09-26 19:38:18,875][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8723158591590477, 'num_rules': 127, 'num_samples': 0, 'syn': 0.5045871559633027}]
[2021-09-26 19:38:18,876][        main.py][line: 185][    INFO] ======sample 0 returns [0.9407450855428265]=======:
[2021-09-26 20:04:05,785][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.9040803702759427, 'num_rules': 117, 'num_samples': 0, 'syn': 0.45871559633027525}]
[2021-09-26 20:04:05,786][        main.py][line: 185][    INFO] ======sample 1 returns [0.9407450855428265, 0.9107557814682465]=======:
[2021-09-26 20:28:38,518][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8871949910083551, 'num_rules': 130, 'num_samples': 0, 'syn': 0.6542056074766355}]
[2021-09-26 20:28:38,518][        main.py][line: 185][    INFO] ======sample 2 returns [0.9407450855428265, 0.9107557814682465, 1.097803102980813]=======:
[2021-09-26 20:52:08,720][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.888471895730649, 'num_rules': 124, 'num_samples': 0, 'syn': 0.5233644859813084}]
[2021-09-26 20:52:08,720][        main.py][line: 185][    INFO] ======sample 3 returns [0.9407450855428265, 0.9107557814682465, 1.097803102980813, 0.9676004338466329]=======:
[2021-09-26 21:16:36,213][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.873849707732461, 'num_rules': 121, 'num_samples': 0, 'syn': 0.6146788990825688}]
[2021-09-26 21:16:36,213][        main.py][line: 185][    INFO] ======sample 4 returns [0.9407450855428265, 0.9107557814682465, 1.097803102980813, 0.9676004338466329, 1.0516037529487994]=======:
[2021-09-26 21:16:40,572][        main.py][line: 208][    INFO] loss: tensor([2.1725], grad_fn=<AddBackward0>)
[2021-09-26 21:16:40,572][        main.py][line: 209][    INFO] ===epoch1===
[2021-09-26 21:16:40,573][        main.py][line: 210][    INFO] loss: 2.172457218170166
[2021-09-26 21:16:40,573][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8723158591590477, 'num_rules': 127, 'num_samples': 0, 'syn': 0.5045871559633027}], [{'diversity': 0.9040803702759427, 'num_rules': 117, 'num_samples': 0, 'syn': 0.45871559633027525}], [{'diversity': 0.8871949910083551, 'num_rules': 130, 'num_samples': 0, 'syn': 0.6542056074766355}], [{'diversity': 0.888471895730649, 'num_rules': 124, 'num_samples': 0, 'syn': 0.5233644859813084}], [{'diversity': 0.873849707732461, 'num_rules': 121, 'num_samples': 0, 'syn': 0.6146788990825688}]]
[2021-09-26 21:16:40,573][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8851825647812911
[2021-09-26 21:16:40,573][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 123.8
[2021-09-26 21:16:40,573][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-26 21:16:40,573][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.5511103489668182
[2021-09-26 21:16:40,573][        main.py][line: 220][    INFO] =====
[2021-09-26 21:44:13,375][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8585130496637996, 'num_rules': 124, 'num_samples': 0, 'syn': 0.6146788990825688}]
[2021-09-26 21:44:13,375][        main.py][line: 185][    INFO] ======sample 0 returns [1.0439354239144687]=======:
[2021-09-26 22:09:48,047][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8940792644128779, 'num_rules': 125, 'num_samples': 0, 'syn': 0.5963302752293578}]
[2021-09-26 22:09:48,048][        main.py][line: 185][    INFO] ======sample 1 returns [1.0439354239144687, 1.0433699074357967]=======:
[2021-09-26 22:30:01,491][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8694562158291503, 'num_rules': 127, 'num_samples': 0, 'syn': 0.6111111111111112}]
[2021-09-26 22:30:01,492][        main.py][line: 185][    INFO] ======sample 2 returns [1.0439354239144687, 1.0433699074357967, 1.0458392190256864]=======:
[2021-09-26 22:51:20,413][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8763287502510552, 'num_rules': 124, 'num_samples': 0, 'syn': 0.5871559633027523}]
[2021-09-26 22:51:20,413][        main.py][line: 185][    INFO] ======sample 3 returns [1.0439354239144687, 1.0433699074357967, 1.0458392190256864, 1.0253203384282799]=======:
[2021-09-26 23:13:45,162][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8666885393993304, 'num_rules': 132, 'num_samples': 0, 'syn': 0.5688073394495413}]
[2021-09-26 23:13:45,162][        main.py][line: 185][    INFO] ======sample 4 returns [1.0439354239144687, 1.0433699074357967, 1.0458392190256864, 1.0253203384282799, 1.0021516091492066]=======:
[2021-09-26 23:13:46,534][        main.py][line: 208][    INFO] loss: tensor([0.2061], grad_fn=<AddBackward0>)
[2021-09-26 23:13:46,535][        main.py][line: 209][    INFO] ===epoch2===
[2021-09-26 23:13:46,535][        main.py][line: 210][    INFO] loss: 0.20612959563732147
[2021-09-26 23:13:46,535][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8585130496637996, 'num_rules': 124, 'num_samples': 0, 'syn': 0.6146788990825688}], [{'diversity': 0.8940792644128779, 'num_rules': 125, 'num_samples': 0, 'syn': 0.5963302752293578}], [{'diversity': 0.8694562158291503, 'num_rules': 127, 'num_samples': 0, 'syn': 0.6111111111111112}], [{'diversity': 0.8763287502510552, 'num_rules': 124, 'num_samples': 0, 'syn': 0.5871559633027523}], [{'diversity': 0.8666885393993304, 'num_rules': 132, 'num_samples': 0, 'syn': 0.5688073394495413}]]
[2021-09-26 23:13:46,536][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8730131639112427
[2021-09-26 23:13:46,536][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 126.4
[2021-09-26 23:13:46,536][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-26 23:13:46,536][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.5956167176350663
[2021-09-26 23:13:46,536][        main.py][line: 220][    INFO] =====
[2021-09-26 23:41:09,671][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8735782469030211, 'num_rules': 117, 'num_samples': 0, 'syn': 0.5887850467289719}]
[2021-09-26 23:41:09,671][        main.py][line: 185][    INFO] ======sample 0 returns [1.0255741701804824]=======:
[2021-09-27 00:08:49,421][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8917325586282766, 'num_rules': 130, 'num_samples': 0, 'syn': 0.6296296296296297}]
[2021-09-27 00:08:49,422][        main.py][line: 185][    INFO] ======sample 1 returns [1.0255741701804824, 1.075495908943768]=======:
[2021-09-27 00:36:09,611][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.889304415214386, 'num_rules': 125, 'num_samples': 0, 'syn': 0.6422018348623854}]
[2021-09-27 00:36:09,612][        main.py][line: 185][    INFO] ======sample 2 returns [1.0255741701804824, 1.075495908943768, 1.0868540424695783]=======:
[2021-09-27 01:04:28,521][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8672204704815438, 'num_rules': 125, 'num_samples': 0, 'syn': 0.6330275229357798}]
[2021-09-27 01:04:28,522][        main.py][line: 185][    INFO] ======sample 3 returns [1.0255741701804824, 1.075495908943768, 1.0868540424695783, 1.0666377581765518]=======:
[2021-09-27 01:31:55,982][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8792902151531855, 'num_rules': 118, 'num_samples': 0, 'syn': 0.6388888888888888}]
[2021-09-27 01:31:55,982][        main.py][line: 185][    INFO] ======sample 4 returns [1.0255741701804824, 1.075495908943768, 1.0868540424695783, 1.0666377581765518, 1.0785339964654816]=======:
[2021-09-27 01:32:08,254][        main.py][line: 208][    INFO] loss: tensor([-0.1774], grad_fn=<AddBackward0>)
[2021-09-27 01:32:08,255][        main.py][line: 209][    INFO] ===epoch3===
[2021-09-27 01:32:08,255][        main.py][line: 210][    INFO] loss: -0.17737096548080444
[2021-09-27 01:32:08,255][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8735782469030211, 'num_rules': 117, 'num_samples': 0, 'syn': 0.5887850467289719}], [{'diversity': 0.8917325586282766, 'num_rules': 130, 'num_samples': 0, 'syn': 0.6296296296296297}], [{'diversity': 0.889304415214386, 'num_rules': 125, 'num_samples': 0, 'syn': 0.6422018348623854}], [{'diversity': 0.8672204704815438, 'num_rules': 125, 'num_samples': 0, 'syn': 0.6330275229357798}], [{'diversity': 0.8792902151531855, 'num_rules': 118, 'num_samples': 0, 'syn': 0.6388888888888888}]]
[2021-09-27 01:32:08,256][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8802251812760826
[2021-09-27 01:32:08,256][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 123.0
[2021-09-27 01:32:08,256][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-27 01:32:08,256][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.6265065846091311
[2021-09-27 01:32:08,256][        main.py][line: 220][    INFO] =====
