[2021-09-26 19:20:26,884][        main.py][line: 141][    INFO] args:Namespace(hidden_size=128, num_generated_samples=100, sample_width=1, MCMC_size=5, learning_rate=0.01, gammar=0.99, mp_size=10, use_multi_proc=True, multi_metrics=True, motif=False, sender_file='generated_samples.txt', receiver_file='output_syn.txt', resume=False, resume_path='', _lambda_0=0.5, _lambda_1=1)
[2021-09-26 19:20:27,217][        main.py][line: 155][    INFO] starting

[2021-09-26 19:30:56,534][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8900634924260349, 'num_rules': 45, 'num_samples': 0, 'syn': 0.6355140186915887}]
[2021-09-26 19:30:56,535][        main.py][line: 185][    INFO] ======sample 0 returns [1.0805457649046062]=======:
[2021-09-26 19:38:19,427][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8862909525971, 'num_rules': 40, 'num_samples': 0, 'syn': 0.6666666666666666}]
[2021-09-26 19:38:19,427][        main.py][line: 185][    INFO] ======sample 1 returns [1.0805457649046062, 1.1098121429652166]=======:
[2021-09-26 19:46:19,610][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8830358349480092, 'num_rules': 45, 'num_samples': 0, 'syn': 0.6915887850467289}]
[2021-09-26 19:46:19,611][        main.py][line: 185][    INFO] ======sample 2 returns [1.0805457649046062, 1.1098121429652166, 1.1331067025207335]=======:
[2021-09-26 19:53:45,513][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8845872295899531, 'num_rules': 40, 'num_samples': 0, 'syn': 0.6792452830188679}]
[2021-09-26 19:53:45,513][        main.py][line: 185][    INFO] ======sample 3 returns [1.0805457649046062, 1.1098121429652166, 1.1331067025207335, 1.1215388978138443]=======:
[2021-09-26 20:02:36,099][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8871108209011598, 'num_rules': 41, 'num_samples': 0, 'syn': 0.6481481481481481}]
[2021-09-26 20:02:36,100][        main.py][line: 185][    INFO] ======sample 4 returns [1.0805457649046062, 1.1098121429652166, 1.1331067025207335, 1.1215388978138443, 1.091703558598728]=======:
[2021-09-26 20:02:37,141][        main.py][line: 208][    INFO] loss: tensor([-0.2600], grad_fn=<AddBackward0>)
[2021-09-26 20:02:37,141][        main.py][line: 209][    INFO] ===epoch1===
[2021-09-26 20:02:37,141][        main.py][line: 210][    INFO] loss: -0.2600115239620209
[2021-09-26 20:02:37,142][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8900634924260349, 'num_rules': 45, 'num_samples': 0, 'syn': 0.6355140186915887}], [{'diversity': 0.8862909525971, 'num_rules': 40, 'num_samples': 0, 'syn': 0.6666666666666666}], [{'diversity': 0.8830358349480092, 'num_rules': 45, 'num_samples': 0, 'syn': 0.6915887850467289}], [{'diversity': 0.8845872295899531, 'num_rules': 40, 'num_samples': 0, 'syn': 0.6792452830188679}], [{'diversity': 0.8871108209011598, 'num_rules': 41, 'num_samples': 0, 'syn': 0.6481481481481481}]]
[2021-09-26 20:02:37,142][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8862176660924515
[2021-09-26 20:02:37,142][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 42.2
[2021-09-26 20:02:37,142][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-26 20:02:37,142][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.6642325803144
[2021-09-26 20:02:37,142][        main.py][line: 220][    INFO] =====
[2021-09-26 20:11:07,561][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8902400078502697, 'num_rules': 44, 'num_samples': 0, 'syn': 0.5185185185185185}]
[2021-09-26 20:11:07,562][        main.py][line: 185][    INFO] ======sample 0 returns [0.9636385224436533]=======:
[2021-09-26 20:21:14,949][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8853648919618029, 'num_rules': 44, 'num_samples': 0, 'syn': 0.6238532110091743}]
[2021-09-26 20:21:14,950][        main.py][line: 185][    INFO] ======sample 1 returns [0.9636385224436533, 1.0665356569900757]=======:
[2021-09-26 20:29:22,447][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8910358115717351, 'num_rules': 38, 'num_samples': 0, 'syn': 0.5833333333333334}]
[2021-09-26 20:29:22,447][        main.py][line: 185][    INFO] ======sample 2 returns [0.9636385224436533, 1.0665356569900757, 1.0288512391192008]=======:
[2021-09-26 20:38:43,454][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8989126600943838, 'num_rules': 44, 'num_samples': 0, 'syn': 0.5514018691588785}]
[2021-09-26 20:38:43,454][        main.py][line: 185][    INFO] ======sample 3 returns [0.9636385224436533, 1.0665356569900757, 1.0288512391192008, 1.0008581992060703]=======:
[2021-09-26 20:47:50,280][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.9032718489382893, 'num_rules': 40, 'num_samples': 0, 'syn': 0.5754716981132075}]
[2021-09-26 20:47:50,280][        main.py][line: 185][    INFO] ======sample 4 returns [0.9636385224436533, 1.0665356569900757, 1.0288512391192008, 1.0008581992060703, 1.027107622582352]=======:
[2021-09-26 20:47:51,436][        main.py][line: 208][    INFO] loss: tensor([-0.5973], grad_fn=<AddBackward0>)
[2021-09-26 20:47:51,437][        main.py][line: 209][    INFO] ===epoch2===
[2021-09-26 20:47:51,437][        main.py][line: 210][    INFO] loss: -0.597339928150177
[2021-09-26 20:47:51,437][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8902400078502697, 'num_rules': 44, 'num_samples': 0, 'syn': 0.5185185185185185}], [{'diversity': 0.8853648919618029, 'num_rules': 44, 'num_samples': 0, 'syn': 0.6238532110091743}], [{'diversity': 0.8910358115717351, 'num_rules': 38, 'num_samples': 0, 'syn': 0.5833333333333334}], [{'diversity': 0.8989126600943838, 'num_rules': 44, 'num_samples': 0, 'syn': 0.5514018691588785}], [{'diversity': 0.9032718489382893, 'num_rules': 40, 'num_samples': 0, 'syn': 0.5754716981132075}]]
[2021-09-26 20:47:51,437][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.893765044083296
[2021-09-26 20:47:51,437][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 42.0
[2021-09-26 20:47:51,437][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-26 20:47:51,437][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.5705157260266225
[2021-09-26 20:47:51,437][        main.py][line: 220][    INFO] =====
[2021-09-26 20:58:32,900][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8930597149875733, 'num_rules': 37, 'num_samples': 0, 'syn': 0.4811320754716981}]
[2021-09-26 20:58:32,900][        main.py][line: 185][    INFO] ======sample 0 returns [0.9276619329654847]=======:
[2021-09-26 21:08:17,837][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8718524693805801, 'num_rules': 38, 'num_samples': 0, 'syn': 0.7102803738317757}]
[2021-09-26 21:08:17,837][        main.py][line: 185][    INFO] ======sample 1 returns [0.9276619329654847, 1.1462066085220657]=======:
[2021-09-26 21:17:02,645][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.888389904045355, 'num_rules': 31, 'num_samples': 0, 'syn': 0.5096153846153846}]
[2021-09-26 21:17:02,645][        main.py][line: 185][    INFO] ======sample 2 returns [0.9276619329654847, 1.1462066085220657, 0.9538103366380621]=======:
[2021-09-26 21:28:06,105][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8738772344825784, 'num_rules': 36, 'num_samples': 0, 'syn': 0.5981308411214953}]
[2021-09-26 21:28:06,106][        main.py][line: 185][    INFO] ======sample 3 returns [0.9276619329654847, 1.1462066085220657, 0.9538103366380621, 1.0350694583627844]=======:
[2021-09-26 21:38:05,414][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.875491425717256, 'num_rules': 35, 'num_samples': 0, 'syn': 0.5092592592592593}]
[2021-09-26 21:38:05,415][        main.py][line: 185][    INFO] ======sample 4 returns [0.9276619329654847, 1.1462066085220657, 0.9538103366380621, 1.0350694583627844, 0.9470049721178873]=======:
[2021-09-26 21:38:06,348][        main.py][line: 208][    INFO] loss: tensor([1.2597], grad_fn=<AddBackward0>)
[2021-09-26 21:38:06,348][        main.py][line: 209][    INFO] ===epoch3===
[2021-09-26 21:38:06,348][        main.py][line: 210][    INFO] loss: 1.2596852779388428
[2021-09-26 21:38:06,349][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8930597149875733, 'num_rules': 37, 'num_samples': 0, 'syn': 0.4811320754716981}], [{'diversity': 0.8718524693805801, 'num_rules': 38, 'num_samples': 0, 'syn': 0.7102803738317757}], [{'diversity': 0.888389904045355, 'num_rules': 31, 'num_samples': 0, 'syn': 0.5096153846153846}], [{'diversity': 0.8738772344825784, 'num_rules': 36, 'num_samples': 0, 'syn': 0.5981308411214953}], [{'diversity': 0.875491425717256, 'num_rules': 35, 'num_samples': 0, 'syn': 0.5092592592592593}]]
[2021-09-26 21:38:06,349][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8805341497226686
[2021-09-26 21:38:06,349][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 35.4
[2021-09-26 21:38:06,349][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-26 21:38:06,349][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.5616835868599226
[2021-09-26 21:38:06,349][        main.py][line: 220][    INFO] =====
[2021-09-26 21:48:22,740][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8835264439289114, 'num_rules': 40, 'num_samples': 0, 'syn': 0.5619047619047619}]
[2021-09-26 21:48:22,741][        main.py][line: 185][    INFO] ======sample 0 returns [1.0036679838692177]=======:
[2021-09-26 21:55:30,095][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8904252478850974, 'num_rules': 37, 'num_samples': 0, 'syn': 0.6481481481481481}]
[2021-09-26 21:55:30,095][        main.py][line: 185][    INFO] ======sample 1 returns [1.0036679838692177, 1.0933607720906968]=======:
[2021-09-26 22:04:44,351][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.9016505190923128, 'num_rules': 38, 'num_samples': 0, 'syn': 0.4722222222222222}]
[2021-09-26 22:04:44,352][        main.py][line: 185][    INFO] ======sample 2 returns [1.0036679838692177, 1.0933607720906968, 0.9230474817683786]=======:
[2021-09-26 22:12:56,016][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8955929055572565, 'num_rules': 36, 'num_samples': 0, 'syn': 0.5327102803738317}]
[2021-09-26 22:12:56,016][        main.py][line: 185][    INFO] ======sample 3 returns [1.0036679838692177, 1.0933607720906968, 0.9230474817683786, 0.98050673315246]=======:
[2021-09-26 22:25:00,888][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.873412734761674, 'num_rules': 33, 'num_samples': 0, 'syn': 0.5192307692307693}]
[2021-09-26 22:25:00,889][        main.py][line: 185][    INFO] ======sample 4 returns [1.0036679838692177, 1.0933607720906968, 0.9230474817683786, 0.98050673315246, 0.9559371366116063]=======:
[2021-09-26 22:25:01,635][        main.py][line: 208][    INFO] loss: tensor([0.5288], grad_fn=<AddBackward0>)
[2021-09-26 22:25:01,636][        main.py][line: 209][    INFO] ===epoch4===
[2021-09-26 22:25:01,636][        main.py][line: 210][    INFO] loss: 0.5288294553756714
[2021-09-26 22:25:01,636][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8835264439289114, 'num_rules': 40, 'num_samples': 0, 'syn': 0.5619047619047619}], [{'diversity': 0.8904252478850974, 'num_rules': 37, 'num_samples': 0, 'syn': 0.6481481481481481}], [{'diversity': 0.9016505190923128, 'num_rules': 38, 'num_samples': 0, 'syn': 0.4722222222222222}], [{'diversity': 0.8955929055572565, 'num_rules': 36, 'num_samples': 0, 'syn': 0.5327102803738317}], [{'diversity': 0.873412734761674, 'num_rules': 33, 'num_samples': 0, 'syn': 0.5192307692307693}]]
[2021-09-26 22:25:01,636][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8889215702450504
[2021-09-26 22:25:01,636][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 36.8
[2021-09-26 22:25:01,637][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-26 22:25:01,637][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.5468432363759467
[2021-09-26 22:25:01,637][        main.py][line: 220][    INFO] =====
[2021-09-26 22:34:45,043][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8996477543888208, 'num_rules': 36, 'num_samples': 0, 'syn': 0.4351851851851852}]
[2021-09-26 22:34:45,044][        main.py][line: 185][    INFO] ======sample 0 returns [0.8850090623795956]=======:
[2021-09-26 22:45:48,845][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8840187363623354, 'num_rules': 36, 'num_samples': 0, 'syn': 0.46788990825688076}]
[2021-09-26 22:45:48,846][        main.py][line: 185][    INFO] ======sample 1 returns [0.8850090623795956, 0.9098992764380485]=======:
[2021-09-26 22:54:38,127][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8870425774808881, 'num_rules': 38, 'num_samples': 0, 'syn': 0.4953271028037383}]
[2021-09-26 22:54:38,127][        main.py][line: 185][    INFO] ======sample 2 returns [0.8850090623795956, 0.9098992764380485, 0.9388483915441823]=======:
[2021-09-26 23:02:34,385][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8917757440281651, 'num_rules': 39, 'num_samples': 0, 'syn': 0.5321100917431193}]
[2021-09-26 23:02:34,386][        main.py][line: 185][    INFO] ======sample 3 returns [0.8850090623795956, 0.9098992764380485, 0.9388483915441823, 0.9779979637572018]=======:
[2021-09-26 23:11:18,991][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.88214007105067, 'num_rules': 36, 'num_samples': 0, 'syn': 0.5660377358490566}]
[2021-09-26 23:11:18,992][        main.py][line: 185][    INFO] ======sample 4 returns [0.8850090623795956, 0.9098992764380485, 0.9388483915441823, 0.9779979637572018, 1.0071077713743917]=======:
[2021-09-26 23:11:20,676][        main.py][line: 208][    INFO] loss: tensor([0.0318], grad_fn=<AddBackward0>)
[2021-09-26 23:11:20,676][        main.py][line: 209][    INFO] ===epoch5===
[2021-09-26 23:11:20,678][        main.py][line: 210][    INFO] loss: 0.031832098960876465
