[2021-09-23 17:59:15,927][        main.py][line: 141][    INFO] args:Namespace(hidden_size=128, num_generated_samples=100, sample_width=1, MCMC_size=5, learning_rate=0.01, gammar=0.99, mp_size=10, use_multi_proc=True, multi_metrics=True, motif=False, sender_file='generated_samples.txt', receiver_file='output_syn.txt', resume=False, resume_path='', _lambda_0=0.5, _lambda_1=1.0)
[2021-09-23 17:59:16,407][        main.py][line: 155][    INFO] starting

[2021-09-23 18:13:28,273][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8932582766043379, 'num_rules': 56, 'num_samples': 0, 'syn': 0.13761467889908258}]
[2021-09-23 18:13:28,274][        main.py][line: 185][    INFO] ======sample 0 returns [0.5842438172012515]=======:
[2021-09-23 18:28:57,684][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8625823690977952, 'num_rules': 52, 'num_samples': 0, 'syn': 0.16666666666666666}]
[2021-09-23 18:28:57,684][        main.py][line: 185][    INFO] ======sample 1 returns [0.5842438172012515, 0.5979578512155642]=======:
[2021-09-23 18:45:58,012][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8693480802000251, 'num_rules': 61, 'num_samples': 0, 'syn': 0.1388888888888889}]
[2021-09-23 18:45:58,012][        main.py][line: 185][    INFO] ======sample 2 returns [0.5842438172012515, 0.5979578512155642, 0.5735629289889015]=======:
[2021-09-23 19:00:35,654][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8546825393175825, 'num_rules': 56, 'num_samples': 0, 'syn': 0.205607476635514}]
[2021-09-23 19:00:35,654][        main.py][line: 185][    INFO] ======sample 3 returns [0.5842438172012515, 0.5979578512155642, 0.5735629289889015, 0.6329487462943053]=======:
[2021-09-23 19:14:42,406][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8834705458259429, 'num_rules': 56, 'num_samples': 0, 'syn': 0.14678899082568808}]
[2021-09-23 19:14:42,406][        main.py][line: 185][    INFO] ======sample 4 returns [0.5842438172012515, 0.5979578512155642, 0.5735629289889015, 0.6329487462943053, 0.5885242637386595]=======:
[2021-09-23 19:14:42,830][        main.py][line: 208][    INFO] loss: tensor([0.1240], grad_fn=<AddBackward0>)
[2021-09-23 19:14:42,832][        main.py][line: 209][    INFO] ===epoch1===
[2021-09-23 19:14:42,833][        main.py][line: 210][    INFO] loss: 0.12395009398460388
[2021-09-23 19:14:42,833][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.8932582766043379, 'num_rules': 56, 'num_samples': 0, 'syn': 0.13761467889908258}], [{'diversity': 0.8625823690977952, 'num_rules': 52, 'num_samples': 0, 'syn': 0.16666666666666666}], [{'diversity': 0.8693480802000251, 'num_rules': 61, 'num_samples': 0, 'syn': 0.1388888888888889}], [{'diversity': 0.8546825393175825, 'num_rules': 56, 'num_samples': 0, 'syn': 0.205607476635514}], [{'diversity': 0.8834705458259429, 'num_rules': 56, 'num_samples': 0, 'syn': 0.14678899082568808}]]
[2021-09-23 19:14:42,833][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8726683622091368
[2021-09-23 19:14:42,834][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 56.2
[2021-09-23 19:14:42,834][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
[2021-09-23 19:14:42,835][        main.py][line: 219][    INFO] mean_eval_metrics syn: 0.15911334038316804
[2021-09-23 19:14:42,835][        main.py][line: 220][    INFO] =====
[2021-09-23 19:36:17,975][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.884221051097396, 'num_rules': 56, 'num_samples': 0, 'syn': 0.1651376146788991}]
[2021-09-23 19:36:17,976][        main.py][line: 185][    INFO] ======sample 0 returns [0.6072481402275971]=======:
[2021-09-23 19:49:01,527][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8870461352327469, 'num_rules': 52, 'num_samples': 0, 'syn': 0.21495327102803738}]
[2021-09-23 19:49:01,527][        main.py][line: 185][    INFO] ======sample 1 returns [0.6072481402275971, 0.6584763386444108]=======:
[2021-09-23 20:02:14,631][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8740001871426223, 'num_rules': 55, 'num_samples': 0, 'syn': 0.14018691588785046}]
[2021-09-23 20:02:14,632][        main.py][line: 185][    INFO] ======sample 2 returns [0.6072481402275971, 0.6584763386444108, 0.5771870094591616]=======:
[2021-09-23 20:17:37,260][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8928877622261063, 'num_rules': 61, 'num_samples': 0, 'syn': 0.21904761904761905}]
[2021-09-23 20:17:37,260][        main.py][line: 185][    INFO] ======sample 3 returns [0.6072481402275971, 0.6584763386444108, 0.5771870094591616, 0.6654915001606723]=======:
[2021-09-23 20:30:18,102][        main.py][line: 171][    INFO] eval_metrics: [{'diversity': 0.8681509600750574, 'num_rules': 59, 'num_samples': 0, 'syn': 0.21153846153846154}]
[2021-09-23 20:30:18,103][        main.py][line: 185][    INFO] ======sample 4 returns [0.6072481402275971, 0.6584763386444108, 0.5771870094591616, 0.6654915001606723, 0.6456139415759903]=======:
[2021-09-23 20:30:19,412][        main.py][line: 208][    INFO] loss: tensor([0.8303], grad_fn=<AddBackward0>)
[2021-09-23 20:30:19,412][        main.py][line: 209][    INFO] ===epoch2===
[2021-09-23 20:30:19,413][        main.py][line: 210][    INFO] loss: 0.8303253054618835
[2021-09-23 20:30:19,413][        main.py][line: 211][    INFO] eval_metrics: [[{'diversity': 0.884221051097396, 'num_rules': 56, 'num_samples': 0, 'syn': 0.1651376146788991}], [{'diversity': 0.8870461352327469, 'num_rules': 52, 'num_samples': 0, 'syn': 0.21495327102803738}], [{'diversity': 0.8740001871426223, 'num_rules': 55, 'num_samples': 0, 'syn': 0.14018691588785046}], [{'diversity': 0.8928877622261063, 'num_rules': 61, 'num_samples': 0, 'syn': 0.21904761904761905}], [{'diversity': 0.8681509600750574, 'num_rules': 59, 'num_samples': 0, 'syn': 0.21153846153846154}]]
[2021-09-23 20:30:19,413][        main.py][line: 219][    INFO] mean_eval_metrics diversity: 0.8812612191547858
[2021-09-23 20:30:19,413][        main.py][line: 219][    INFO] mean_eval_metrics num_rules: 56.6
[2021-09-23 20:30:19,413][        main.py][line: 219][    INFO] mean_eval_metrics num_samples: 0.0
